index,ID,JOJ Approved,MOM Approved,Site Status,Name,Original Name,Author,Author URL,Mod URL,Style,Categories,Clothing,Light,Heavy,Gender,Themes,Modular,Multi-colored,Armor Tier,Body & Physics Support (JSON),Image URL,Thumbnail URL,Category Audit Note,Content
256,259,TRUE,TRUE,INCLUDE,2B Officer Uniform,Obi's 2B Officer Uniform 2K 3BA BHUNP,Obicnii,https://www.nexusmods.com/skyrimspecialedition/users/59154696,https://www.nexusmods.com/skyrimspecialedition/mods/96079,Modern,Cloth,TRUE,FALSE,FALSE,Female,Military,FALSE,FALSE,Cloth / Linen,"{""SMP"":"""",""3BA"":""PREBUILT"",""HIMBO"":""N/A"",""OSL / B.O.O.B.I.E.S"":"""",""Other arousal"":""https://www.nexusmods.com/skyrimspecialedition/mods/102965"",""VSU"":"""",""Heels"":""""}",https://staticdelivery.nexusmods.com/mods/1704/images/96079/96079-1689673947-562549240.png,https://staticdelivery.nexusmods.com/mods/1704/images/96079/96079-1689673947-562549240.png,Existing category tag; verify against description if additional armor types are available.,NSFW
73,74,TRUE,TRUE,INCLUDE,2B Wedding Outfit,COCO 2B Wedding Outfit - CBBE-TBD-UUNP SE,Daymarr,https://www.nexusmods.com/skyrimspecialedition/users/8194845,https://www.nexusmods.com/skyrimspecialedition/mods/26419,Modern,Lingerie,FALSE,FALSE,FALSE,Female,Romantic; Civilian,FALSE,FALSE,Cloth / Linen,"{""SMP"":"""",""3BA"":""PREBUILT"",""HIMBO"":""N/A"",""OSL / B.O.O.B.I.E.S"":""https://www.nexusmods.com/skyrimspecialedition/mods/106672"",""Other arousal"":"""",""VSU"":"""",""Heels"":""https://www.nexusmods.com/skyrimspecialedition/mods/144402""}",https://staticdelivery.nexusmods.com/mods/1704/images/26419/26419-1713885452-171848237.jpeg,https://staticdelivery.nexusmods.com/mods/1704/images/26419/26419-1713885452-171848237.jpeg,"Description audit required: no Clothing, Light, or Heavy tag currently present.",NSFW
140,142,TRUE,TRUE,INCLUDE,Abyss,Abyss 3BA,Ellxe,https://www.nexusmods.com/skyrimspecialedition/users/31116590,https://www.nexusmods.com/skyrimspecialedition/mods/104241,Grounded,Light,FALSE,TRUE,FALSE,Female,Royal,FALSE,FALSE,L5 - Leather,"{""SMP"":"""",""3BA"":"""",""HIMBO"":"""",""OSL / B.O.O.B.I.E.S"":"""",""Other arousal"":"""",""VSU"":"""",""Heels"":""""}",https://staticdelivery.nexusmods.com/mods/1704/images/104241/104241-1765588535-1719990339.jpg,https://images.nexusmods.com/mod-images/1704/t/large/10/104241/104241-1765588535-1719990339.jpg,Existing category tag; verify against description if additional armor types are available.,NSFW
326,329,TRUE,TRUE,INCLUDE,Accessories - Magic Creatures,Shino - Accessories - Magic Creatures,shinoboru,https://www.nexusmods.com/skyrimspecialedition/users/3706095,https://www.nexusmods.com/skyrimspecialedition/mods/124243,Fantastical,Accessories,FALSE,FALSE,FALSE,Female,Nature,FALSE,TRUE,Unassigned,"{""SMP"":"""",""3BA"":""N/A"",""HIMBO"":""N/A"",""OSL / B.O.O.B.I.E.S"":"""",""Other arousal"":"""",""VSU"":"""",""Heels"":""""}",https://staticdelivery.nexusmods.com/mods/1704/images/124243/124243-1725150520-945086966.jpeg,https://images.nexusmods.com/mod-images/1704/t/large/12/124243/124243-1725150520-945086966.jpeg,"Description audit required: no Clothing, Light, or Heavy tag currently present.",Standard
195,197,TRUE,TRUE,INCLUDE,Adventurer,Adventurer HDT-SMP Armor,Fuse00,https://www.nexusmods.com/skyrimspecialedition/users/6052912,https://www.nexusmods.com/skyrimspecialedition/mods/91741,Grounded,Light,FALSE,TRUE,FALSE,Male; Female,Military; Nature,TRUE,FALSE,L2 - Fur,"{""SMP"":"""",""3BA"":""https://www.nexusmods.com/skyrimspecialedition/mods/97841"",""HIMBO"":""https://www.nexusmods.com/skyrimspecialedition/mods/91783"",""OSL / B.O.O.B.I.E.S"":"""",""Other arousal"":"""",""VSU"":"""",""Heels"":""""}",https://staticdelivery.nexusmods.com/mods/1704/images/91741/91741-1684566086-962348152.jpeg,https://staticdelivery.nexusmods.com/mods/1704/images/91741/91741-1684566086-962348152.jpeg,Existing category tag; verify against description if additional armor types are available.,Standard
199,201,TRUE,TRUE,INCLUDE,Adventurer's Tunic,Adventurer's Tunic,ghouls0rules,https://www.nexusmods.com/skyrimspecialedition/users/1537468,https://www.nexusmods.com/skyrimspecialedition/mods/131889,Grounded,Cloth,TRUE,FALSE,FALSE,Male; Female,Civilian; Nature,FALSE,FALSE,Unassigned,"{""SMP"":"""",""3BA"":"""",""HIMBO"":"""",""OSL / B.O.O.B.I.E.S"":"""",""Other arousal"":"""",""VSU"":"""",""Heels"":""""}",https://staticdelivery.nexusmods.com/mods/1704/images/131889/131889-1729711275-1190264893.png,https://images.nexusmods.com/mod-images/1704/t/large/13/131889/131889-1729711275-1190264893.png,Existing category tag; verify against description if additional armor types are available.,Standard
297,300,TRUE,TRUE,INCLUDE,Aegis Anuad,Aegis Anuad,Pulcharmsolis,https://www.nexusmods.com/skyrimspecialedition/users/122433248,https://www.nexusmods.com/skyrimspecialedition/mods/95089,Grounded,Cloth; Light; Heavy,TRUE,TRUE,TRUE,Male; Female,Military,FALSE,FALSE,Unassigned,"{""SMP"":"""",""3BA"":""N/A"",""HIMBO"":""https://www.nexusmods.com/skyrimspecialedition/mods/125855"",""OSL / B.O.O.B.I.E.S"":"""",""Other arousal"":"""",""VSU"":"""",""Heels"":""""}",https://staticdelivery.nexusmods.com/mods/1704/images/95089/95089-1692813848-1898189616.jpeg,https://images.nexusmods.com/mod-images/1704/t/large/95/95089/95089-1692813848-1898189616.jpeg,Existing category tag; verify against description if additional armor types are available.,Standard
47,47,TRUE,TRUE,INCLUDE,Aegyptus,Aegyptus,contentcat,https://www.nexusmods.com/skyrimspecialedition/users/69093453,https://www.nexusmods.com/skyrimspecialedition/mods/165651,Fantastical,Lingerie,FALSE,FALSE,FALSE,Female,Royal,FALSE,FALSE,Unassigned,"{""SMP"":"""",""3BA"":"""",""HIMBO"":"""",""OSL / B.O.O.B.I.E.S"":"""",""Other arousal"":"""",""VSU"":"""",""Heels"":""""}",https://staticdelivery.nexusmods.com/mods/1704/images/165651/165651-1764324991-1781265883.png,https://images.nexusmods.com/mod-images/1704/t/large/16/165651/165651-1764324991-1781265883.png,"Description audit required: no Clothing, Light, or Heavy tag currently present.",NSFW
26,26,TRUE,TRUE,INCLUDE,Ahlanna Armor,Ashtoreth Ahlanna Armor,AshtorethH,https://www.nexusmods.com/skyrimspecialedition/users/108345998,https://www.nexusmods.com/skyrimspecialedition/mods/98287,Grounded,Light,FALSE,TRUE,FALSE,Female,Thieves Guild; Dark Brotherhood,FALSE,TRUE,L9 - Elven Gilded,"{""SMP"":"""",""3BA"":""PREBUILT"",""HIMBO"":""N/A"",""OSL / B.O.O.B.I.E.S"":"""",""Other arousal"":"""",""VSU"":"""",""Heels"":""""}",https://staticdelivery.nexusmods.com/mods/1704/images/98287/98287-1691983363-1048374134.png,https://staticdelivery.nexusmods.com/mods/1704/images/98287/98287-1691983363-1048374134.png,Existing category tag; verify against description if additional armor types are available.,NSFW
12,12,TRUE,TRUE,INCLUDE,Ancient Bone Armor,Ancient Bone Armor,AokiliMods,https://www.nexusmods.com/skyrimspecialedition/users/4747368,https://www.nexusmods.com/skyrimspecialedition/mods/119440,Fantastical,Light,FALSE,TRUE,FALSE,Female,Forsworn,FALSE,FALSE,H6 - Ebony,"{""SMP"":"""",""3BA"":""PREBUILT"",""HIMBO"":""N/A"",""OSL / B.O.O.B.I.E.S"":"""",""Other arousal"":"""",""VSU"":"""",""Heels"":""""}",https://staticdelivery.nexusmods.com/mods/1704/images/119440/119440-1715710534-522415183.jpeg,https://staticdelivery.nexusmods.com/mods/1704/images/119440/119440-1715710534-522415183.jpeg,Existing category tag; verify against description if additional armor types are available.,NSFW
