index,Site Status,Sort,Name,Blurb,Author,Author URL,Mod URL,Accent,Content,Image URL,Thumbnail URL
1,INCLUDE,1,Halls of Order,"A grand player home beneath a living Sovngarde aurora: a portal nexus spanning Tamriel, an 86-display museum wing, a dragon steward, and a household of up to 27.",HerrSchtevie,https://www.nexusmods.com/profile/HerrSchtevie,https://www.nexusmods.com/skyrimspecialedition/mods/187403,#C6524A,NSFW,https://staticdelivery.nexusmods.com/mods/1704/images/187403/187403-1785895414-730985564.png,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/187403/187403-1785895414-730985564.png
2,INCLUDE,2,Talos' Tease,"A Bordello-themed player home in Whiterun. Meet the mistress and her workers and rest a while after a long journey.",Juntii,https://www.nexusmods.com/profile/Juntii,https://www.nexusmods.com/skyrimspecialedition/mods/160241,#C75B7A,NSFW,https://staticdelivery.nexusmods.com/mods/1704/images/160241/160241-1759100654-1207790415.png,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/160241/160241-1759100654-1207790415.png
3,INCLUDE,3,SLPP Talk During Sex,"A port of OTalkDuringSex to SexLab P+. You can talk to NPCs even with your mouthful.",Juntii,https://www.nexusmods.com/profile/Juntii,https://www.nexusmods.com/skyrimspecialedition/mods/173592,#C75B7A,NSFW,https://staticdelivery.nexusmods.com/mods/1704/images/173592/173592-1772211825-685543745.png,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/173592/173592-1772211825-685543745.png
4,INCLUDE,4,Sanguine's Trade - An Economy Mod,"Build and run a brothel enterprise under a Daedric patroness: claim inns, recruit willing workers, and manage it all through the Ledger.",Juntii,https://www.nexusmods.com/profile/Juntii,https://www.nexusmods.com/skyrimspecialedition/mods/185788,#C75B7A,NSFW,https://staticdelivery.nexusmods.com/mods/1704/images/185788/185788-1784416604-2119861843.png,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/185788/185788-1784416604-2119861843.png
5,INCLUDE,5,Skyrim Water Reflections Engine Fix (beta),An SKSE engine repair for the bug behind seemingly random water-transition crashes.,Rynfri,https://www.nexusmods.com/profile/Rynfri,https://www.nexusmods.com/skyrimspecialedition/mods/185419,#5B7FFF,STANDARD,https://staticdelivery.nexusmods.com/mods/1704/images/185419/185419-1784143278-1291930656.jpg,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/185419/185419-1784143278-1291930656.jpg
6,INCLUDE,6,Ohmes-Raht Compatibility Pack,"Lets Ohmes-Raht characters behave correctly in mods expecting vanilla khajiit race checks: SKSE DLL, papyrus API, and optional patches.",Rynfri,https://www.nexusmods.com/profile/Rynfri,https://www.nexusmods.com/skyrimspecialedition/mods/183946,#5B7FFF,STANDARD,https://staticdelivery.nexusmods.com/mods/1704/images/183946/183946-1782855496-427674284.png,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/183946/183946-1782855496-427674284.png
7,INCLUDE,7,Sa'chil - Bug Fixes,A focused bug-fixing patch for Sa'chil - Custom Voiced Khajiit Follower.,Rynfri,https://www.nexusmods.com/profile/Rynfri,https://www.nexusmods.com/skyrimspecialedition/mods/183459,#5B7FFF,STANDARD,https://staticdelivery.nexusmods.com/mods/1704/images/183459/183459-1782278905-947714800.jpg,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/183459/183459-1782278905-947714800.jpg
8,INCLUDE,8,TRX Futanari SOS addon BnP Frostnip Skin Patch,A texture patch that eliminates skin seams when using TRX Futanari with the BnP frostnip skin.,Rynfri,https://www.nexusmods.com/profile/Rynfri,https://www.nexusmods.com/skyrimspecialedition/mods/176687,#5B7FFF,NSFW,https://staticdelivery.nexusmods.com/mods/1704/images/176687/176687-1775520458-867645683.jpg,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/176687/176687-1775520458-867645683.jpg
9,INCLUDE,9,Kodex - An Automated Mod List Support Reporter,An MO2 plugin that generates support reports documenting any changes to a modlist installation.,Kyler45,https://www.nexusmods.com/profile/Kyler45,https://www.nexusmods.com/skyrimspecialedition/mods/157869,#CC0000,STANDARD,https://staticdelivery.nexusmods.com/mods/1704/images/157869/157869-1756308791-540715274.png,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/157869/157869-1756308791-540715274.png
10,INCLUDE,10,Yoana the Wanderer,"A custom voiced dual-sword follower with bad ideas, sharp edges, and absolutely no interest in behaving.",bridgeburnerr,https://www.nexusmods.com/profile/bridgeburnerr,https://www.nexusmods.com/skyrimspecialedition/mods/164506,#f0c176,STANDARD,https://staticdelivery.nexusmods.com/mods/1704/images/164506/164506-1763180203-1895017833.png,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/164506/164506-1763180203-1895017833.png
11,INCLUDE,11,Vaelyra the Veiled,A custom voiced witch follower with a Read to Me book system and three swappable witch aspects.,bridgeburnerr,https://www.nexusmods.com/profile/bridgeburnerr,https://www.nexusmods.com/skyrimspecialedition/mods/182838,#f0c176,STANDARD,https://staticdelivery.nexusmods.com/mods/1704/images/182838/182838-1781643792-1215883496.jpg,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/182838/182838-1781643792-1215883496.jpg
